AoA,CL,CD,camber,camber_loc,thickness,Re
16.0,1.0698,0.12522,1,1,08,1000000
-2.0,-0.1298,0.02517,2,1,08,50000
0.0,0.076,0.0167,2,1,08,50000
2.0,0.4065,0.01944,2,1,08,50000
4.0,0.6303,0.02324,2,1,08,50000
6.0,0.8318,0.03398,2,1,08,50000
8.0,0.9701,0.05655,2,1,08,50000
10.0,0.7828,0.1229,2,1,08,50000
12.0,0.8256,0.15257,2,1,08,50000
14.0,0.8271,0.17855,2,1,08,50000
16.0,0.8617,0.21016,2,1,08,50000
-2.0,-0.1409,0.02381,2,1,08,100000
0.0,0.1188,0.01608,2,1,08,100000
2.0,0.4426,0.01193,2,1,08,100000
4.0,0.6217,0.01753,2,1,08,100000
6.0,0.8307,0.02384,2,1,08,100000
8.0,1.0192,0.0346,2,1,08,100000
10.0,1.1704,0.04273,2,1,08,100000
12.0,1.231,0.04699,2,1,08,100000
14.0,0.9004,0.15026,2,1,08,100000
16.0,0.9055,0.20949,2,1,08,100000
-2.0,-0.0652,0.01952,2,1,08,250000
0.0,0.2187,0.01058,2,1,08,250000
2.0,0.4276,0.00926,2,1,08,250000
4.0,0.6242,0.01282,2,1,08,250000
6.0,0.8307,0.01625,2,1,08,250000
8.0,1.0331,0.02226,2,1,08,250000
10.0,1.2251,0.02078,2,1,08,250000
12.0,1.2782,0.03698,2,1,08,250000
14.0,1.1734,0.07841,2,1,08,250000
16.0,0.6009,0.0676,2,1,08,250000
-2.0,-0.0098,0.00973,2,1,08,1000000
0.0,0.1999,0.00831,2,1,08,1000000
2.0,0.4273,0.0074,2,1,08,1000000
4.0,0.6366,0.00855,2,1,08,1000000
6.0,0.85,0.00992,2,1,08,1000000
8.0,1.0625,0.01133,2,1,08,1000000
10.0,1.2524,0.01585,2,1,08,1000000
12.0,0.8522,0.00428,2,1,08,1000000
14.0,0.7567,0.02041,2,1,08,1000000
16.0,0.6458,0.05656,2,1,08,1000000
-2.0,-0.1306,0.03104,3,1,08,50000
0.0,0.1043,0.02497,3,1,08,50000
2.0,0.5073,0.01795,3,1,08,50000
4.0,0.7111,0.02677,3,1,08,50000
6.0,0.9046,0.03856,3,1,08,50000
8.0,0.9491,0.07442,3,1,08,50000
10.0,0.8097,0.13153,3,1,08,50000
12.0,0.8518,0.15631,3,1,08,50000
14.0,0.8745,0.18106,3,1,08,50000
16.0,0.9519,0.21874,3,1,08,50000
-2.0,-0.1048,0.03128,3,1,08,100000
0.0,0.2922,0.01734,3,1,08,100000
4.0,0.7039,0.02013,3,1,08,100000
6.0,0.9108,0.02761,3,1,08,100000
8.0,1.0794,0.04117,3,1,08,100000
10.0,0.8454,0.11495,3,1,08,100000
12.0,0.8734,0.14299,3,1,08,100000
14.0,0.9212,0.17008,3,1,08,100000
16.0,0.9596,0.20275,3,1,08,100000
